     ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const,   -2.9296,    0.716,   -4.091, 0.000,   -4.333,   -1.526
x1   ,   -0.2926,    0.052,   -5.665, 0.000,   -0.394,   -0.191
x2   ,    0.3485,    0.136,    2.568, 0.010,    0.082,    0.614
x3   ,    0.4442,    0.074,    5.998, 0.000,    0.299,    0.589
x4   ,    0.4331,    0.050,    8.725, 0.000,    0.336,    0.530
x5   ,   -1.1702,    0.060,  -19.607, 0.000,   -1.287,   -1.053
x6   ,   -0.3100,    0.035,   -8.831, 0.000,   -0.379,   -0.241
x7   ,    0.2514,    0.063,    3.968, 0.000,    0.127,    0.376
x8   ,   -0.4687,    0.117,   -3.991, 0.000,   -0.699,   -0.239
x9   ,   -0.5053,    0.155,   -3.261, 0.001,   -0.809,   -0.202
x10  ,   -0.5297,    0.038,  -14.071, 0.000,   -0.604,   -0.456
x11  ,   -0.1262,    0.038,   -3.336, 0.001,   -0.200,   -0.052
x12  ,   -0.1067,    0.032,   -3.369, 0.001,   -0.169,   -0.045
x13  ,    0.1648,    0.033,    5.068, 0.000,    0.101,    0.229
x14  ,   -0.0090,    0.002,   -5.145, 0.000,   -0.012,   -0.006
x15  ,    0.6508,    0.032,   20.404, 0.000,    0.588,    0.713
x16  ,   -0.0321,    0.011,   -2.945, 0.003,   -0.053,   -0.011
x17  ,   -1.1894,    0.072,  -16.485, 0.000,   -1.331,   -1.048
x18  ,    3.2016,    0.549,    5.828, 0.000,    2.125,    4.278
x19  ,   -5.6320,    0.844,   -6.676, 0.000,   -7.286,   -3.978
x20  ,   -2.0548,    0.491,   -4.185, 0.000,   -3.017,   -1.092
x21  ,   -0.1345,    0.012,  -10.939, 0.000,   -0.159,   -0.110
x22  ,   -0.1866,    0.021,   -8.777, 0.000,   -0.228,   -0.145
x23  ,   -0.8784,    0.108,   -8.125, 0.000,   -1.090,   -0.666
x24  ,   -0.5829,    0.035,  -16.440, 0.000,   -0.652,   -0.513
x25  ,    0.2674,    0.026,   10.400, 0.000,    0.217,    0.318
x26  ,   -0.3442,    0.034,  -10.145, 0.000,   -0.411,   -0.278
x27  ,   -0.4192,    0.031,  -13.459, 0.000,   -0.480,   -0.358
x28  ,   -0.3931,    0.024,  -16.125, 0.000,   -0.441,   -0.345
x29  ,    0.1398,    0.018,    7.946, 0.000,    0.105,    0.174
x30  ,    0.4927,    0.092,    5.347, 0.000,    0.312,    0.673
x31  ,    0.4811,    0.090,    5.361, 0.000,    0.305,    0.657
x32  ,    0.6974,    0.087,    8.018, 0.000,    0.527,    0.868
x33  ,    0.6154,    0.118,    5.236, 0.000,    0.385,    0.846
x34  ,    0.0056,    0.001,    8.264, 0.000,    0.004,    0.007
x35  ,    0.0001, 4.47e-05,    3.025, 0.002, 4.76e-05,    0.000
x36  ,    0.2714,    0.033,    8.111, 0.000,    0.206,    0.337
x37  ,    0.6534,    0.018,   36.067, 0.000,    0.618,    0.689
x38  ,   -1.8198,    0.092,  -19.677, 0.000,   -2.001,   -1.639
x39  ,    0.1162,    0.018,    6.352, 0.000,    0.080,    0.152
x40  ,    0.4732,    0.059,    8.086, 0.000,    0.359,    0.588
x41  ,    0.6166,    0.085,    7.252, 0.000,    0.450,    0.783
x42  ,   -0.2293,    0.041,   -5.636, 0.000,   -0.309,   -0.150
x43  ,    0.2523,    0.013,   19.519, 0.000,    0.227,    0.278
x44  ,    0.2516,    0.052,    4.867, 0.000,    0.150,    0.353
x45  ,    0.0085,    0.000,   50.708, 0.000,    0.008,    0.009
x46  ,    0.5824,    0.069,    8.501, 0.000,    0.448,    0.717
x47  ,   -0.7191,    0.045,  -16.084, 0.000,   -0.807,   -0.631
x48  ,   -0.3317,    0.044,   -7.504, 0.000,   -0.418,   -0.245
x49  ,    1.0325,    0.066,   15.651, 0.000,    0.903,    1.162
x50  ,    0.1199,    0.032,    3.745, 0.000,    0.057,    0.183
x51  ,    0.3713,    0.065,    5.736, 0.000,    0.244,    0.498
x52  ,    0.3779,    0.020,   19.270, 0.000,    0.340,    0.416
x53  ,    0.4710,    0.041,   11.607, 0.000,    0.391,    0.551
x54  ,   -0.2938,    0.032,   -9.090, 0.000,   -0.357,   -0.230
x55  ,    0.0521,    0.011,    4.766, 0.000,    0.031,    0.073
x56  ,   -0.9395,    0.049,  -19.192, 0.000,   -1.035,   -0.844
x57  ,    0.4400,    0.046,    9.478, 0.000,    0.349,    0.531
x58  ,    0.0045,    0.002,    3.021, 0.003,    0.002,    0.007
x59  ,    0.1284,    0.014,    8.945, 0.000,    0.100,    0.157
x60  ,   -1.2461,    0.124,  -10.027, 0.000,   -1.490,   -1.003
x61  ,   -0.3400,    0.118,   -2.872, 0.004,   -0.572,   -0.108
x62  ,    0.1689,    0.023,    7.276, 0.000,    0.123,    0.214
x63  ,    0.5280,    0.033,   15.790, 0.000,    0.462,    0.594
x64  ,    0.0263,    0.009,    2.894, 0.004,    0.008,    0.044
x65  ,    0.4151,    0.092,    4.506, 0.000,    0.235,    0.596
x66  ,   -1.4449,    0.058,  -25.059, 0.000,   -1.558,   -1.332
x67  ,    0.2650,    0.075,    3.536, 0.000,    0.118,    0.412
x68  ,   -0.8129,    0.101,   -8.032, 0.000,   -1.011,   -0.615
x69  ,    0.1782,    0.041,    4.374, 0.000,    0.098,    0.258
x70  ,    0.4251,    0.104,    4.080, 0.000,    0.221,    0.629
x71  ,    0.1702,    0.051,    3.344, 0.001,    0.070,    0.270
x72  ,   -0.1522,    0.059,   -2.575, 0.010,   -0.268,   -0.036
x73  ,    0.3044,    0.032,    9.490, 0.000,    0.241,    0.367
x74  ,    0.2533,    0.074,    3.443, 0.001,    0.109,    0.398
x75  ,   -0.2348,    0.077,   -3.053, 0.002,   -0.385,   -0.084
x76  ,    0.4106,    0.056,    7.388, 0.000,    0.302,    0.520
x77  ,    0.3741,    0.070,    5.329, 0.000,    0.237,    0.512
x78  ,   -0.1562,    0.033,   -4.714, 0.000,   -0.221,   -0.091
x79  ,   -0.9653,    0.105,   -9.154, 0.000,   -1.172,   -0.759
x80  ,    0.2613,    0.075,    3.462, 0.001,    0.113,    0.409
x81  ,    0.8992,    0.089,   10.070, 0.000,    0.724,    1.074
x82  ,    0.3694,    0.072,    5.164, 0.000,    0.229,    0.510
x83  ,    0.2345,    0.088,    2.679, 0.007,    0.063,    0.406
Omnibus:      ,8406.899,  Durbin-Watson:     ,   1.992 
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,12591.338
Skew:         ,-1.043  ,  Prob(JB):          ,    0.00 
Kurtosis:     , 3.857  ,  Cond. No.          ,4.94e+04 

Warnings:
[